gen,best,mean,p90
0,11.714,4.527,8.841
1,10.842,6.892,9.453
2,11.339,8.741,10.374
3,11.535,9.383,10.450
4,10.937,9.366,10.312
5,11.687,10.108,10.984
6,11.411,9.993,10.809
7,11.800,10.398,11.209
8,11.554,10.345,11.084
9,11.310,10.225,10.950
10,12.140,10.894,11.727
11,11.692,10.598,11.366
12,12.723,10.755,11.451
13,11.981,10.778,11.468
14,11.994,10.736,11.513
15,12.754,11.088,11.876
16,11.857,10.541,11.211
17,12.860,11.072,11.752
18,12.348,10.993,11.722
19,12.121,10.904,11.659
20,12.837,11.140,11.842
21,11.696,10.743,11.372
22,12.256,11.300,12.022
